first_name,last_name,pose,variation
Simon,Nicholls,Hands On Knees,"A" on cap
Joe,Tinker,Portrait,"Tinker" missing
Cy,Barger,,Bottom of "T" missing
Harry,Krause,Pitching,Gray cap
Red,Murray,Portrait,Last name spelled "Murr'y"
Fred,Mitchell,,Missing last "o" in Toronto
Johnny,Bates,,No "B" on cap
Vive,Lindaman,,No "B" on cap
Fred,Beck,,No "B" on cap or sleeve
Bill,Sweeney,,No "B" on cap or uniform
Heinie,Wagner,Bat On Left Shoulder,No "B" on cap or uniform
Beals,Becker,,No "B" on uniform
Fred,Snodgrass,Batting,Nodgrass
Fred,Snodgrass,Catching,Nodgrass
Tommy,Leach,Portrait,Pink background
Tris,Speaker,,Plain uniform
Bill,Hinchman,,Semi-colon
Bud,Sharpe,,Shappe
